City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,narsaq,32,GL,1524711000,63,60.91,-46.05,30.2,1.61
1,saint george,0,GR,1524711000,76,39.45,22.34,55.4,5.82
2,saint-philippe,90,CA,1524710700,93,45.36,-73.48,53.6,8.05
3,ushuaia,75,AR,1524708000,100,-54.81,-68.31,35.6,6.93
4,hithadhoo,44,MV,1524712720,100,-0.6,73.08,83.49,11.23
5,bambous virieux,40,MU,1524708000,83,-20.34,57.76,75.2,6.93
6,rikitea,76,PF,1524712720,100,-23.12,-134.97,77.46,6.98
7,bilma,0,NE,1524712720,21,18.69,12.92,68.1,4.52
8,jamestown,8,AU,1524712720,100,-33.21,138.6,61.44,5.97
9,kaitangata,0,NZ,1524712720,81,-46.28,169.85,63.6,4.41
10,kuito,80,AO,1524712721,70,-12.38,16.94,60.09,2.84
11,mazagao,20,BR,1524711600,100,-0.12,-51.29,77.0,2.24
12,bilibino,0,RU,1524712721,63,68.06,166.44,32.64,3.74
13,petropavlovsk-kamchatskiy,0,RU,1524709800,26,53.05,158.65,48.2,8.95
14,vestmannaeyjar,92,IS,1524712721,100,63.44,-20.27,41.01,6.42
15,east london,20,ZA,1524712721,89,-33.02,27.91,77.37,16.26
16,butaritari,80,KI,1524712722,100,3.07,172.79,83.04,13.35
17,new norfolk,20,AU,1524709980,38,-42.78,147.06,60.8,20.8
18,port alfred,36,ZA,1524712722,90,-33.59,26.89,69.63,18.39
19,provideniya,90,RU,1524709800,74,64.42,-173.23,33.8,8.95
20,dikson,80,RU,1524712722,95,73.51,80.55,18.87,16.71
21,torbay,90,CA,1524708000,60,47.66,-52.73,42.8,19.46
22,hermanus,76,ZA,1524712722,91,-34.42,19.24,54.33,11.34
23,albany,90,US,1524710760,87,42.65,-73.75,57.2,2.17
24,punta arenas,90,CL,1524711600,87,-53.16,-70.91,42.8,16.11
25,atuona,56,PF,1524712723,100,-9.8,-139.03,81.69,18.72
26,aklavik,90,CA,1524710280,80,68.22,-135.01,39.2,4.7
27,portland,20,US,1524707760,21,45.52,-122.67,82.4,4.7
28,bredasdorp,24,ZA,1524708000,87,-34.53,20.04,50.0,2.24
29,chuy,8,UY,1524712672,97,-33.69,-53.46,65.04,2.95
30,vaini,8,IN,1524712723,70,15.34,74.49,76.29,1.72
31,nemuro,75,JP,1524708000,57,43.32,145.57,51.8,9.17
32,norman wells,40,CA,1524708000,49,65.28,-126.83,48.2,11.41
33,lidice,20,CZ,1524711600,76,50.14,14.19,53.6,12.75
34,khrisokhorafa,0,GR,1524712724,79,41.18,23.23,51.09,2.95
35,bluff,0,AU,1524712724,34,-23.58,149.07,85.02,7.99
36,airai,0,TL,1524712724,45,-8.93,125.41,85.29,1.61
37,bukachacha,24,RU,1524712724,34,52.99,116.91,47.22,4.18
38,shaunavon,0,CA,1524712725,52,49.65,-108.41,44.34,6.42
39,rochegda,80,RU,1524712725,83,62.67,43.41,38.04,7.87
40,makakilo city,1,US,1524711420,54,21.35,-158.09,80.6,12.75
41,upernavik,88,GL,1524712725,100,72.79,-56.15,15.63,6.64
42,hilo,20,US,1524711360,69,19.71,-155.08,78.8,10.29
43,batticaloa,44,LK,1524712725,100,7.71,81.69,81.6,1.72
44,ponta do sol,68,BR,1524712725,64,-20.63,-46.0,68.64,5.19
45,yellowknife,75,CA,1524710940,60,62.45,-114.38,39.2,3.36
46,qaanaaq,68,GL,1524712726,94,77.48,-69.36,12.66,5.41
47,dingle,44,PH,1524712726,95,11.0,122.67,81.87,7.31
48,mandalgovi,0,MN,1524712726,72,45.76,106.27,55.86,6.53
49,salta,90,AR,1524711600,93,-24.79,-65.41,69.8,3.36
50,ostrovnoy,48,RU,1524712726,93,68.05,39.51,32.55,10.0
51,naze,40,NG,1524708000,94,5.43,7.07,75.2,3.62
52,ndola,0,ZM,1524712727,61,-12.97,28.64,53.07,7.76
53,mar del plata,44,AR,1524712727,41,-46.43,-67.52,62.34,15.59
54,erenhot,0,CN,1524712727,70,43.65,111.97,60.99,12.68
55,kutum,0,SD,1524712727,22,14.2,24.66,66.21,10.78
56,vestmanna,68,FO,1524711000,100,62.16,-7.17,39.2,11.41
