,Latitude,Longitude,City,Country,Temperature,Humidity,Clouds,Wind
0,84.61013265618996,124.96461741135829,tiksi,ru,-35.29,66,12,3.15
1,62.16050665878251,-103.51597052407368,la ronge,ca,-4.01,70,90,12.75
2,69.94033825213177,-173.6297963784142,lavrentiya,ru,17.82,99,24,5.5
3,86.28944258249453,-144.33136661761927,barrow,us,33.8,53,1,13.87
4,-5.5752089835169585,163.77985729145962,auki,sb,77.67,100,92,8.97
5,-48.71312019094232,-125.61238290407626,rikitea,pf,76.59,100,24,11.32
7,35.34883907325084,109.40240243257159,tongchuan,cn,33.8,31,0,6.71
8,68.14798407491932,-37.18624061798292,tasiilaq,gl,28.4,68,88,12.75
9,-39.63560009912356,-48.50424196201024,chuy,uy,67.23,94,36,6.62
10,-0.06624458245444487,-95.97362748817966,puerto ayora,ec,75.15,100,88,5.95
11,-24.004824282095257,106.55966085584231,carnarvon,au,83.56,71,0,16.8
12,6.104912634431187,167.65546063384272,butaritari,ki,82.44,100,76,14.79
13,29.42210830174669,-110.93118871078471,hermosillo,mx,69.8,48,5,6.93
15,-35.23575609595796,-8.829420118314943,jamestown,sh,71.68,100,92,17.47
16,68.94330166881895,117.78208566903231,saskylakh,ru,-27.77,44,68,3.38
17,-37.083778025141726,15.623576800821809,cape town,za,68,60,20,19.46
18,-7.141502847145404,48.91595355052644,ambilobe,mg,80.01,100,0,4.27
19,8.994998656515705,-164.71407660236972,makakilo city,us,74.34,78,75,11.41
20,-50.73951718264252,-167.68620778421632,vaini,to,78.8,88,75,11.41
23,67.15460532847271,-89.42391831049035,thompson,ca,-5.81,76,90,14.99
24,52.44377076105735,149.2062373890119,vostok,ru,1.26,58,44,4.38
25,35.669991833330215,29.414727544027784,fethiye,tr,41,93,0,6.93
26,-54.08534919995146,146.1157252638106,hobart,au,60.8,41,40,18.34
27,-47.48781314045158,73.40979203910177,souillac,mu,84.2,79,75,12.75
28,-75.64516550646577,121.33721539331071,albany,au,74.79,49,64,18.03
29,19.957058436670692,114.41270511204448,zhuhai,cn,14,36,0,4.47
30,72.3081474429379,-9.05617456761675,hofn,is,33.61,100,0,21.83
31,13.028943123569022,46.28625609716195,aden,ye,75.01,100,80,17.81
33,-61.42254042954347,71.8150319193937,saint-philippe,re,86.11,70,0,4.7
35,-0.9957344524241023,-125.2743336860768,atuona,pf,81.9,98,24,15.79
36,-56.51504515768912,-103.65460794571788,punta arenas,cl,44.6,81,75,11.41
39,-28.92572591016041,-27.460417251628996,sao joao da barra,br,73.89,100,68,13
40,22.65233938837912,-174.37293684867512,kapaa,us,67.87,68,90,17.22
41,25.539763695015864,81.48991887652483,bharwari,in,67.77,81,0,9.42
42,63.942390448641504,126.29256418251424,sangar,ru,-34.75,63,0,4.27
45,55.48673616698659,109.03855075977475,severobaykalsk,ru,-2.84,66,48,2.37
46,31.6064162567466,-12.309095550611659,teguise,es,50,87,20,8.05
48,-23.810960877052338,178.3725955457959,isangel,vu,82.21,100,64,6.51
49,-16.58879664359874,116.56359831223239,karratha,au,92.07,41,12,8.97
51,-50.53861171363917,85.32931121249595,busselton,au,77.76,77,0,11.21
53,41.70151516850612,6.7333761317369465,hyeres,fr,44.73,93,12,1.12
54,-51.828725120488784,-39.90505436538726,mar del plata,ar,55.03,59,0,18.59
56,85.3639853111296,38.29208634617146,vardo,no,22.6,78,20,14.99
58,63.453937058866956,137.76708944974843,khandyga,ru,-29.84,48,64,3.6
60,-31.87465826332317,108.52118533687303,geraldton,au,87.8,33,0,19.46
62,-1.5780884938501174,-31.549098552971742,touros,br,79.06,88,92,12.55
64,28.669839343308197,-121.46243324794308,rosarito,mx,59.04,79,20,3.15
66,-5.662000525791228,61.597468288113106,victoria,sc,82.4,74,75,5.82
67,-59.790327091897936,176.03944841645222,kaitangata,nz,80.59,31,88,11.77
68,-41.522051641631826,-39.96438160608119,cidreira,br,70.92,93,36,9.53
72,78.92456333257337,27.624394617016605,mehamn,no,19.26,72,40,6.93
73,47.612623642049925,-111.72925563546954,great falls,us,29.28,54,75,20.8
74,-23.760769583786995,151.25777476749647,gladstone,au,90.36,56,48,5.17
76,-71.57175005052724,-59.436408076862435,ushuaia,ar,33.34,100,48,4.94
79,57.482211386530935,159.5464140770868,tigil,ru,34.29,85,56,13.22
82,-6.561314311353726,-38.56510467451977,triunfo,br,65.83,94,0,5.28
84,61.756390401586344,137.5533806620369,solnechnyy,ru,-5.09,68,0,4.27
86,33.88219191279106,166.23064061799278,severo-kurilsk,ru,25.38,100,24,5.61
88,71.38816454306499,-45.83368300959927,ilulissat,gl,3.2,59,68,19.46
89,-88.57836778434816,126.61491943332612,new norfolk,au,60.8,41,40,18.34
90,51.30934112430032,-23.073536506390923,vestmannaeyjar,is,29.97,100,0,15.23
92,75.26639832483804,-123.40804040928272,norman wells,ca,-23.81,67,75,3.15
93,67.98209548206523,158.1077679523807,cherskiy,ru,20.7,74,0,8.08
94,85.84671330703628,143.1332815388654,chokurdakh,ru,-23.68,36,8,3.15
97,-13.224476605804227,43.63061499949626,fomboni,km,81.04,100,88,6.73
99,47.79784362312432,172.28443270504442,nikolskoye,ru,14,85,75,8.95
100,-16.67322763002855,-17.23620722452452,georgetown,sh,77.53,100,68,15.79
103,70.79282563479254,73.08620351768965,yar-sale,ru,8.91,94,76,14
105,-7.59559072064296,-87.49583100558141,paita,pe,70.96,83,32,3.83
106,36.72301128182217,0.23958716785602974,sidi ali,dz,43.69,82,68,3.49
107,26.244019576023305,-114.27985901384491,guerrero negro,mx,57.15,66,0,2.93
108,-31.720933868894285,-89.55180431107377,lebu,cl,55.84,92,0,24.74
109,60.74405759689543,96.59087504769991,baykit,ru,1.35,68,48,8.41
110,47.99161654896321,-107.07818846148055,assiniboia,ca,15.12,85,0,8.97
111,2.6867208567358603,-161.69306086241636,hilo,us,61.36,73,75,3.36
112,69.33977400492915,-105.70023855776611,yellowknife,ca,-22.01,67,40,9.17
114,48.29865370614223,101.87594200124948,bulgan,mn,7.56,46,48,5.61
119,13.809127304532453,83.60494047833942,amalapuram,in,82.21,58,0,3.38
120,8.333215183866386,-34.3587609209539,sao filipe,cv,68.67,100,36,20.83
121,64.23294677809537,-143.69239156717958,fairbanks,us,-21.5,75,1,6.73
122,41.26792534461447,-47.843992639410146,torbay,ca,44.6,100,90,23.04
124,-87.57871436771217,44.24968162162918,port alfred,za,70.2,92,32,8.08
126,4.893773787786742,-6.429971246799823,san-pedro,ci,77,94,0,2.24
128,80.5256973384814,73.4948354440663,dikson,ru,9.27,99,80,13
130,-28.667891060751636,18.982716533221577,warmbad,na,63.45,64,0,4.61
131,0.9134954391417125,115.77299026167617,bontang,id,84.19,92,44,8.3
135,3.3311063316084386,1.3232387994281396,anloga,gh,77,94,40,2.24
137,-24.14227851107391,14.672193025957768,walvis bay,na,62.6,82,90,4.7
140,21.192130769859148,80.5443441861442,dongargaon,in,82.44,44,12,4.05
145,32.263350737554646,68.16661050654378,sharan,af,28.89,100,92,3.15
148,41.10467556840334,-86.62316045985234,plymouth,us,30.07,68,40,6.93
149,70.66592426554868,167.81711292304283,pevek,ru,2.56,68,8,2.93
151,-41.424400933052574,34.79542161697046,east london,za,68,94,90,9.17
152,13.377298363030462,37.407555182520895,dabat,et,62.64,41,0,2.93
153,52.420816967617895,68.59714639998671,atbasar,kz,-0.77,77,0,11.21
158,14.74775177029521,-11.146630412047216,kayes,ml,72.13,56,88,2.15
159,-0.9371144832562237,155.36181856309946,namatanai,pg,82.17,100,92,10.98
160,31.074549773564726,66.72413520002584,chaman,pk,43.06,98,92,10.65
162,68.12621770991336,111.44906726842578,udachnyy,ru,-17.56,74,64,3.27
163,-3.235971591114776,-27.006150510514914,natal,br,77,88,40,6.93
164,48.16197035023967,-5.663921905008209,plouzane,fr,51.8,100,92,17.22
165,-15.201939465232527,136.44359595555335,alyangula,au,86.89,92,36,21.83
166,-5.510167846084656,39.862039922418006,mtambile,tz,81.04,96,76,10.98
170,39.43695119813836,9.721058822666066,tortoli,it,48.2,76,0,9.17
174,5.428131225596502,120.58021633277673,manubul,ph,83.52,100,8,13.67
175,4.1031877364715115,4.23639691827475,warri,ng,71.59,95,56,2.37
176,69.70803643971539,10.744270712969154,sorland,no,30.2,68,20,2.24
181,13.362664857092312,-70.06742875266796,oranjestad,aw,80.6,83,20,13.87
184,3.890422420051877,56.618589660923476,eyl,so,73.89,94,48,17.25
185,59.33671832185473,-40.460293890289535,nanortalik,gl,24.61,98,0,23.73
186,-35.01566164942224,167.43896606708597,ahipara,nz,73.08,80,68,22.84
187,71.51142059677647,-13.669652943357846,husavik,is,19.4,92,90,8.19
189,55.249208975928696,154.34335053617832,sobolevo,ru,19.48,79,76,20.49
190,27.691538289390195,-59.41679326862534,saint george,bm,62.6,67,75,24.16
193,-44.77270625887453,74.24954620180344,mahebourg,mu,84.2,79,75,12.75
198,31.389856947639075,123.64227465031712,shenjiamen,cn,40.23,100,92,18.25
200,-18.87552602547889,58.162434803282395,cap malheureux,mu,84.2,79,75,12.75
201,-42.92992281192847,165.83737853758208,te anau,nz,71.59,47,36,18.03
205,22.56552486778,-14.165126495673093,atar,mr,40.81,66,0,6.62
209,62.80392480524134,-151.6975349722672,kenai,us,12.99,48,1,20.8
210,17.429305453825947,82.70459607060968,tuni,in,82.26,60,0,4.72
211,6.481522214862167,-6.684128370376186,issia,ci,68.26,91,0,2.59
214,-20.759502923370448,27.642506450257486,masunga,bw,73.4,69,75,8.05
215,-66.3108554165538,154.12342058834696,bluff,nz,72.49,76,92,20.27
216,3.0640239848296744,120.28687809273447,ligayan,ph,81.72,100,20,14
217,52.694843547474875,-15.279147292840207,dingle,ie,45.27,100,92,35.37
218,23.089740250337584,141.02548085765414,shimoda,jp,48.2,49,75,8.05
